id,order_id,notary_id,messaged_at,responded_at,response
419549,518331,56757,7/14/16 21:14,,
419549,518331,38401,7/14/16 21:14,,
419549,518331,43485,7/14/16 21:15,7/14/16 21:25,available
419549,518331,36051,7/14/16 21:15,7/14/16 21:21,not_available
419549,518331,65851,7/14/16 21:16,7/14/16 21:17,available
419549,518331,43483,7/14/16 21:16,,
419549,518331,32895,7/14/16 21:17,7/14/16 21:18,not_available
424509,524129,38033,7/19/16 17:37,7/19/16 17:38,available
424509,524129,35622,7/19/16 17:38,7/19/16 17:55,not_available
430035,530381,55717,7/21/16 23:18,,
430035,530381,41391,7/21/16 23:18,7/21/16 23:19,available
430035,530381,39842,7/21/16 23:18,,
447598,549096,44665,8/3/16 18:25,,
447598,549096,55339,8/3/16 18:25,,
447598,549096,38767,8/3/16 18:26,8/3/16 19:01,not_available
447598,549096,68086,8/3/16 18:26,,
447598,549096,33059,8/3/16 18:34,,
447598,549096,48465,8/3/16 18:35,,
447670,549229,41303,8/3/16 18:56,8/3/16 19:05,available
447670,549229,59209,8/3/16 18:57,,
447670,549229,36487,8/3/16 18:57,,
447670,549229,66765,8/3/16 18:57,,
447670,549229,32954,8/3/16 18:58,8/3/16 18:59,not_available
447670,549229,71694,8/3/16 18:59,,
447670,549229,66680,8/3/16 19:00,,
447670,549229,32928,8/3/16 19:00,,
447670,549229,50684,8/3/16 19:01,8/3/16 19:01,available
447670,549229,44886,8/3/16 19:01,,
447725,549275,66657,8/3/16 19:14,8/3/16 19:18,available
447725,549275,65851,8/3/16 19:15,8/3/16 19:17,available
447725,549275,38196,8/3/16 19:15,,
447725,549275,43483,8/3/16 19:16,8/3/16 19:17,available
447725,549275,50133,8/3/16 19:16,8/3/16 19:17,not_available
447725,549275,32976,8/3/16 19:16,,
447764,549328,68939,8/3/16 19:27,,
447764,549328,55434,8/3/16 19:28,,
447764,549328,39842,8/3/16 19:28,,
447764,549328,51077,8/3/16 19:28,,
447764,549328,41391,8/3/16 19:28,,
447764,549328,66765,8/3/16 19:29,,
447764,549328,71051,8/3/16 19:29,8/3/16 19:29,available
447798,549357,26210,8/3/16 19:37,,
447798,549357,55310,8/3/16 19:38,,
447798,549357,67963,8/3/16 19:39,,
447798,549357,70536,8/3/16 19:39,,
447798,549357,55892,8/3/16 19:40,,
447807,549357,26246,8/3/16 19:41,,
447807,549357,26210,8/3/16 19:41,,
447807,549357,55310,8/3/16 19:42,,
447807,549357,68944,8/3/16 19:43,,
447807,549357,70536,8/3/16 19:43,,
447807,549357,55892,8/3/16 19:44,,
447807,549357,64238,8/3/16 19:44,8/3/16 20:06,available
447807,549357,40966,8/3/16 19:45,8/3/16 19:52,not_available
447825,549395,59209,8/3/16 19:45,,
447807,549357,26188,8/3/16 19:45,,
447825,549395,65677,8/3/16 19:45,,
447825,549395,68939,8/3/16 19:46,,
447807,549357,42903,8/3/16 19:46,8/3/16 19:46,available
447807,549357,72256,8/3/16 19:46,8/3/16 20:40,not_available
447825,549395,66765,8/3/16 19:46,,
447825,549395,71051,8/3/16 19:47,,
447825,549395,32954,8/3/16 19:48,8/3/16 19:49,not_available
447825,549395,33036,8/3/16 19:48,8/3/16 19:49,available
447825,549395,55434,8/3/16 19:49,,
447883,549426,40361,8/3/16 20:06,,
447883,549426,49064,8/3/16 20:07,,
447883,549426,33003,8/3/16 20:07,,
448030,549401,72080,8/3/16 20:50,8/4/16 23:39,available
448030,549401,63077,8/3/16 20:50,8/3/16 20:52,available
448030,549401,62215,8/3/16 20:51,,
448076,549703,39842,8/3/16 21:05,8/3/16 21:09,available
448076,549703,51077,8/3/16 21:06,,
448076,549703,44723,8/3/16 21:07,,
448076,549703,65786,8/3/16 21:07,,
448076,549703,41391,8/3/16 21:07,8/3/16 21:10,available
448113,549751,39842,8/3/16 21:22,,
448113,549751,36487,8/3/16 21:24,,
448118,549754,65805,8/3/16 21:25,8/3/16 21:26,available
448118,549754,55310,8/3/16 21:25,8/3/16 21:26,available
448214,549882,62215,8/3/16 22:02,,
448642,550416,60124,8/4/16 13:12,8/4/16 13:20,available
448642,550416,51644,8/4/16 13:12,,
448642,550416,69764,8/4/16 13:13,8/4/16 14:36,not_available
448642,550416,64953,8/4/16 13:15,8/4/16 13:18,not_available
448642,550416,65102,8/4/16 13:16,,
448666,550431,47687,8/4/16 13:47,,
448666,550431,32938,8/4/16 13:48,,
448666,550431,32957,8/4/16 13:48,,
448666,550431,67546,8/4/16 13:49,,
448666,550431,32947,8/4/16 13:50,8/4/16 14:15,not_available
448666,550431,53421,8/4/16 13:50,8/4/16 13:51,available
448666,550431,56469,8/4/16 13:53,,
448666,550431,32922,8/4/16 13:53,8/4/16 13:54,not_available
448666,550431,33013,8/4/16 13:53,,
448666,550431,65042,8/4/16 13:53,,
448666,550431,38464,8/4/16 13:54,,
448666,550431,32960,8/4/16 13:55,,
448666,550431,58957,8/4/16 13:55,8/4/16 13:56,available
448666,550431,57124,8/4/16 13:55,,
448666,550431,50369,8/4/16 13:56,,
448749,550538,41391,8/4/16 14:30,8/4/16 14:30,available
420120,519067,45043,7/15/16 14:05,,
420120,519067,26267,7/15/16 14:05,7/15/16 14:10,not_available
420120,519067,26300,7/15/16 14:06,7/15/16 14:07,not_available
420120,519067,39399,7/15/16 14:06,,
420120,519067,38245,7/15/16 14:07,,
420120,519067,71151,7/15/16 14:08,7/15/16 14:10,available
420120,519067,26258,7/15/16 14:08,,
420120,519067,65102,7/15/16 14:09,,
420120,519067,70255,7/15/16 14:10,,
426371,526264,26208,7/20/16 17:10,7/20/16 17:11,available
426371,526264,26249,7/20/16 17:14,7/20/16 17:17,available
426371,526264,49046,7/20/16 17:14,7/20/16 18:12,available
426371,526264,59648,7/20/16 17:15,7/20/16 17:16,available
426371,526264,26210,7/20/16 17:15,7/20/16 17:16,not_available
426371,526264,38240,7/20/16 17:18,,
426371,526264,70536,7/20/16 17:19,7/20/16 17:33,not_available
426371,526264,26188,7/20/16 17:22,7/20/16 17:23,not_available
426371,526264,65805,7/20/16 17:23,,
426371,526264,64022,7/20/16 17:23,,
426371,526264,64355,7/20/16 17:24,,
426371,526264,40966,7/20/16 17:24,,
426371,526264,26268,7/20/16 17:26,,
426371,526264,62213,7/20/16 17:26,,
426371,526264,35620,7/20/16 17:27,,
426371,526264,37896,7/20/16 17:30,,
427987,528121,68086,7/21/16 13:41,,
427987,528121,55339,7/21/16 13:42,7/21/16 13:55,available
427987,528121,66654,7/21/16 13:42,7/21/16 13:42,available
427987,528121,38262,7/21/16 13:56,7/21/16 13:57,available
427987,528121,54238,7/21/16 13:57,,
428558,528697,59676,7/21/16 16:58,,
428558,528697,41391,7/21/16 16:59,7/21/16 16:59,available
